,0
perimeter_worst,0.47549919554262
area_worst,0.4626729809989525
radius_worst,0.45325521048403505
concave points_mean,0.4398410662240071
concave points_worst,0.4345065859215589
perimeter_mean,0.40417629636121766
concavity_mean,0.3729950972969005
radius_mean,0.36652023120872235
area_mean,0.35918178440744963
radius_worst_over_radius_mean,0.31961895518903316
concavity_worst,0.31700833741095136
area_worst_over_area_mean,0.28609529604836403
perimeter_worst_over_perimeter_mean,0.254668852159039
concave points_worst_over_concave points_mean,0.23679824731935573
compactness_worst,0.226343699038561
compactness_mean,0.21457246837439325
concavity_worst_over_concavity_mean,0.14956350026009413
fractal_dimension_worst_over_fractal_dimension_mean,0.1478086954593465
texture_worst,0.12018468926664383
id,0.10562656002684201
smoothness_worst,0.09359521398277049
texture_mean,0.09172009546262228
symmetry_worst,0.08965149958299401
smoothness_mean,0.08539245453650479
fractal_dimension_worst,0.07177045451728747
symmetry_mean,0.06325589200274062
symmetry_worst_over_symmetry_mean,0.050664542491246856
compactness_worst_over_compactness_mean,0.04490232228933233
fractal_dimension_mean,0.009192051178131377
smoothness_worst_over_smoothness_mean,0.005131789956401178
texture_worst_over_texture_mean,0.0
